Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
2710.	11528	FRRIVIER ELISABETH		Femme	SEF	147	0:22:53	0:44:46	0:56:23	1:07:15	1:34:17
2711.	5089	FRLE DU GUILLAUME		Homme	SEH	1374	0:20:47	0:42:09	0:53:50	1:05:16	1:34:19
2712.	7741	FRHAON MATHIEU		Homme	SEH	1375	0:22:47	0:44:48	0:56:33	1:07:30	1:34:19
2713.	11908	FRGREUILLET CECILE	PARIS SPORT CLUB	Femme	SEF	148	0:22:30	0:44:30	0:56:13	1:07:23	1:34:19
2714.	3534	PLSZYKULSKI TOMASZ		Homme	SEH	1376	0:23:13	0:45:03	0:56:35	1:07:30	1:34:20
2715.	4075	FRMALGRAT MAXIME		Homme	M0H	414	0:22:00	0:43:40	0:55:12	1:06:13	1:34:20
2716.	9291	FRPERES ELISE	ATHLETISME METZ METROPOLE*	Femme	SEF	149		0:46:17	0:57:27	1:07:54	1:34:21
2717.	153	FRBIFFAUD MAXIME		Homme	M0H	415	0:22:44	0:44:34	0:56:11	1:07:15	1:34:21
2718.	5562	FRFRANCOIS MAXIME		Homme	SEH	1377	0:22:21	0:43:52	0:55:25	1:06:38	1:34:21
2719.	1428	FRTHOUMSAINT LAURENT		Homme	M0H	416	0:22:35	0:44:42	0:56:30	1:07:37	1:34:21
2720.	1771	FRBENNEY PAUL		Homme	SEH	1378	0:23:30	0:44:59	0:56:27	1:07:18	1:34:21
2721.	8386	FRMOYON ROMAIN		Homme	SEH	1379	0:22:51	0:45:04	0:56:40	1:07:35	1:34:21
2722.	6466	FRROY IVAN		Homme	M2H	171	0:22:00	0:43:19	0:55:12	1:06:17	1:34:22
2723.	1306	FRHUA MINH-DUC		Homme	M1H	263	0:22:50	0:44:34	0:56:12	1:07:14	1:34:22
2724.	4484	***** DOSSARD INCONNU					0:21:16	0:43:29	0:55:34	1:06:49	1:34:23
2725.	5226	FRLE PRIOL MATTHIEU		Homme	M1H	264	0:22:49	0:44:45	0:56:46	1:07:39	1:34:23
2726.	1414	FRNUNES ALLAN		Homme	SEH	1380	0:22:05	0:44:11	0:55:55	1:07:19	1:34:23
2727.	2512	FRCHAPERON ROMAIN		Homme	SEH	1381	0:22:46	0:44:48	0:56:13	1:07:00	1:34:23
2728.	10044	FREHRESMANN EMILIE	LEVALLOIS SC	Femme	SEF	150	0:23:41	0:46:00	0:57:35	1:08:21	1:34:23
2729.	5324	FROFFREDO ADRIEN		Homme	SEH	1382	0:23:37	0:45:59	0:57:52		1:34:23
2730.	7448	FRTILLY BAPTISTE		Homme	SEH	1383	0:21:11	0:42:29	0:54:00	1:05:17	1:34:24
2731.	11488	FRBRULTEY MARIE		Femme	SEF	151	0:23:21	0:45:39	0:57:15	1:08:10	1:34:24
2732.	1152	FRJALON MARC		Homme	SEH	1384	0:23:12	0:45:22	0:57:06	1:08:05	1:34:24
2733.	6413	FRBONRAISIN VICTOR		Homme	SEH	1385	0:23:06	0:45:17	0:56:46	1:07:48	1:34:24
2734.	5651	FRCOCOVI GUILLAUME		Homme	M0H	417	0:21:16	0:42:12	0:54:00	1:05:39	1:34:25
2735.	6260	ARDIAZ HUGO		Homme	M0H	418	0:22:08	0:43:49	0:55:23	1:06:37	1:34:25
2736.	4460	SCHUMACHER DAVID		Homme	M3H	137	0:22:11	0:44:06	0:55:54	1:07:01	1:34:25
2737.	5417	FRVILLERET MATHIEU		Homme	SEH	1386	0:22:59	0:44:56	0:56:32	1:07:20	1:34:25
2738.	5547	FRBEGUERIE BAPTISTE		Homme	SEH	1387	0:23:02	0:44:34			1:34:25
2739.	9998	FRLE COZ GAËLLE		Femme	SEF	152	0:23:16	0:45:12	0:56:41	1:07:36	1:34:25
2740.	6267	FRLEDUC ERWAN		Homme	SEH	1388	0:22:08	0:44:10	0:55:51	1:07:02	1:34:25
2741.	358	FRDELETTRE FLORIAN		Homme	M1H	265	0:22:59	0:44:27	0:56:10	1:07:09	1:34:25
2742.	3064	FRMAHÉ MAXENCE		Homme	SEH	1389	0:25:29	0:47:48	0:59:14	1:09:33	1:34:25
2743.	1843	ESFRASQUET GONZALO		Homme	M0H	419	0:22:38	0:44:41	0:56:21	1:07:30	1:34:26
2744.	7982	FRFEUILLATRE BAPTISTE		Homme	SEH	1390	0:22:18	0:44:17	0:56:00	1:07:03	1:34:26
2745.	1165	FRCHARLET ADRIEN		Homme	M1H	266	0:22:15	0:44:06	0:55:50	1:06:58	1:34:26
2746.	241	FRMAYOL NICOLAS		Homme	SEH	1391	0:22:10	0:44:03	0:55:33	1:06:45	1:34:26
2747.	1343	FRDAUGER THÉODORE		Homme	ESH	63	0:22:02	0:44:30	0:56:05	1:07:17	1:34:27
2748.	8014	NLMEULENBELT GEERT	AO CHARENTON	Homme	M5H	26	0:22:11	0:43:40	0:55:08	1:06:10	1:34:27
2749.	6888	FRCONTE JEROME	AS BANQUE DE FRANCE	Homme	M2H	172	0:23:06	0:44:56	0:56:41	1:07:41	1:34:27
2750.	62	FRDENIS FRANCK		Homme	M2H	173	0:22:48	0:45:03	0:56:45	1:07:47	1:34:28
2751.	3758	FRCAPITAO NICOLAS		Homme	SEH	1392	0:22:16	0:43:55	0:55:35	1:06:35	1:34:28
2752.	5901	FRDEKEYSER THIBAULT		Homme	SEH	1393	0:21:45	0:43:23	0:55:21	1:06:51	1:34:29
2753.	7030	FRBERTHELON GRÉGOIRE		Homme	SEH	1394	0:22:48	0:44:42	0:56:12	1:06:59	1:34:29
2754.	3584	FRHAMEL-MONTHEAN SIMON		Homme	SEH	1395	0:23:13	0:45:40	0:57:21	1:08:19	1:34:29
2755.	6842	FRJEANNY EMMANUEL		Homme	SEH	1396	0:23:05	0:45:12	0:56:41	1:07:30	1:34:29
2756.	4934	FRPATARIN ERIC		Homme	SEH	1397	0:23:31	0:45:48	0:57:37	1:08:38	1:34:29
2757.	90	ETHEVENIN THIERRY JACQUES EMMANUEL		Homme	M0H	420	0:22:07	0:44:06	0:56:00	1:07:12	1:34:30
2758.	12283	FRCLOUET SOPHIE		Femme	SEF	153	0:22:12	0:44:04	0:55:49	1:07:03	1:34:30
2759.	2485	FRLE JOLIS FRANCK		Homme	M3H	138	0:22:23	0:44:03	0:55:35	1:07:19	1:34:31
2760.	962	FRTHULEAU MAXIME		Homme	SEH	1398	0:22:55	0:44:39	0:56:18	1:07:08	1:34:31
2761.	10981	FRBABLET MARIE	VMA - VIENS M'ATTRAPER	Femme	SEF	154	0:21:53	0:43:39	0:55:26	1:06:52	1:34:32
2762.	6982	FRBOUGON PAUL		Homme	M0H	421		0:41:56	0:53:20	1:04:47	1:34:32
2763.	8475	***** DOSSARD INCONNU					0:22:29	0:44:32	0:56:11	1:07:18	1:34:32
2764.	8362	FRATTIOUI SAMY		Homme	SEH	1399	0:23:04	0:45:05	0:56:41	1:07:50	1:34:32
2765.	4096	FRLECLERC VINCENT		Homme	M4H	47	0:22:33	0:44:44	0:56:28	1:07:26	1:34:32
2766.	7754	FRCROS BENOIT		Homme	SEH	1400	0:23:32	0:45:56	0:57:20	1:08:24	1:34:32
2767.	1502	FRLONJON MATTHIEU		Homme	M4H	48	0:22:15	0:43:46	0:54:59	1:05:59	1:34:33
2768.	4053	FRMERCIER BENJAMIN	UA VERSAILLES	Homme	M3H	139	0:22:02	0:43:24	0:54:47	1:06:06	1:34:33
2769.	8357	FRMIGLIERINA THIBAULT		Homme	SEH	1401	0:23:31	0:45:42	0:57:14	1:08:09	1:34:33
2770.	1955	FRVAN DER LAAN XAVIER		Homme	SEH	1402	0:23:13	0:45:33	0:57:07	1:08:19	1:34:33
2771.	10827	FRCARON LOUISE	VINCENNES ATHLETIC	Femme	SEF	155	0:22:28	0:44:13	0:55:53	1:06:59	1:34:34
2772.	4531	FRCHANOINE HUGUES		Homme	M0H	422	0:22:21	0:44:03	0:55:39	1:06:44	1:34:35
2773.	3910	FRDUCHEIN ANTOINE		Homme	SEH	1403	0:23:05	0:45:18	0:57:02	1:08:17	1:34:35
2774.	5325	FRSTURELLE MARTIN		Homme	SEH	1404	0:23:38	0:46:00	0:57:53	1:08:53	1:34:35
2775.	2795	FRGUICHANÉ HENRI		Homme	SEH	1405	0:22:12	0:44:01	0:56:05	1:07:29	1:34:36
2776.	5197	FRRICHARD ANTOINE		Homme	SEH	1406	0:22:41	0:44:44	0:56:24	1:07:21	1:34:36
2777.	10218	FRDUVAUCHELLE JEANNE		Femme	SEF	156	0:22:53	0:44:57	0:56:28	1:07:32	1:34:36
2778.	9132	FRMONAMY LOUISE MARIE		Femme	SEF	157	0:22:48	0:45:18	0:56:59	1:08:00	1:34:36
2779.	4061	FRMOREAU OCTAVE		Homme	SEH	1407	0:23:56	0:45:53	0:57:44	1:08:35	1:34:36
2780.	8415	FRGILLET VINCENT		Homme	M1H	267	0:22:30	0:44:15		1:06:43	1:34:37
2781.	1540	FRBOSCHER BENJAMIN		Homme	SEH	1408	0:22:59	0:45:03	0:56:42	1:07:42	1:34:37
2782.	5643	FRDUTHOIT BARTHÉLEMY		Homme	SEH	1409	0:22:43	0:45:05	0:56:48	1:07:58	1:34:37
2783.	7489	FRBANTAS YANNICK		Homme	M3H	140	0:21:27	0:42:34	0:54:09	1:05:23	1:34:38
2784.	7324	FRCONDOLF CYRIL		Homme	M2H	174	0:22:19	0:43:45	0:55:20	1:06:24	1:34:38
2785.	1910	FRLECOMTE ERWAN		Homme	M0H	423	0:22:07	0:43:59	0:55:41	1:06:56	1:34:38
2786.	6820	FRAOUSTIN NICOLAS		Homme	SEH	1410	0:23:12	0:45:12	0:56:39	1:07:37	1:34:39
2787.	2339	FRGUYADER VINCENT		Homme	SEH	1411	0:22:45	0:44:41	0:56:16	1:07:13	1:34:40
2788.	1479	FRGILET MATTHIAS		Homme	M2H	175	0:22:52	0:45:16	0:56:42	1:07:38	1:34:40
2789.	167	FRQUÉRO HENRI		Homme	SEH	1412	0:22:40	0:44:38	0:56:15	1:07:15	1:34:41
2790.	8553	MALAKHLOUFI ANASS		Homme	SEH	1413	0:22:58	0:44:16	0:56:08	1:07:15	1:34:41
2791.	2986	FRDELANDE MAXIME		Homme	ESH	64	0:22:05	0:44:19	0:56:18	1:07:30	1:34:42
2792.	3986	FRLAGACHE LAURENT		Homme	M0H	424	0:22:11	0:44:16	0:56:13	1:07:45	1:34:42
2793.	4342	FRDE LANGAUTIER MAXIMILIEN		Homme	SEH	1414	0:23:40	0:46:08	0:57:37	1:08:24	1:34:42
2794.	5454	FRMARIGA ALEXIS		Homme	SEH	1415	0:21:29	0:42:36	0:54:00	1:05:24	1:34:43
2795.	1066	FRCREPON XAVIER		Homme	M2H	176	0:21:02	0:42:05	0:53:53	1:05:18	1:34:44
2796.	5969	FRJUILLARD THOMAS		Homme	SEH	1416	0:22:00	0:44:04	0:55:58	1:07:09	1:34:44
2797.	2737	FRBOIRIVENT FLORENT		Homme	SEH	1417	0:23:24	0:45:57	0:57:33	1:08:20	1:34:44
2798.	7498	FRFERNANDES IDALIO		Homme	SEH	1418	0:22:10	0:43:52	0:55:22	1:06:22	1:34:45
2799.	3845	FRLAPERT GRÉGOIRE		Homme	SEH	1419	0:22:36	0:44:07		1:06:50	1:34:45
2800.	1918	FRCHANTREUIL THÉO		Homme	SEH	1420	0:23:14	0:45:26	0:57:11	1:08:19	1:34:45
2801.	8708	FRALEXANDRE GODEL		Homme	SEH	1421	0:22:44	0:44:46	0:56:32	1:07:50	1:34:46
2802.	5103	FRABICHOU ISAM		Homme	SEH	1422	0:22:01	0:43:44	0:55:23	1:06:44	1:34:46
2803.	5050	FRPICAL VALENTIN		Homme	SEH	1423	0:22:23	0:44:33	0:56:19	1:07:24	1:34:46
2804.	9624	FRCOUDOUX ELISA		Femme	M0F	25	0:23:07	0:45:26	0:57:02	1:08:05	1:34:46
2805.	9735	FRTILLOLES AMBRE	ZOOM VOLT RUNNERS	Femme	SEF	158	0:22:35	0:44:33	0:56:12	1:07:19	1:34:47
2806.	5240	FRTRUMMER FABIAN		Homme	M0H	425	0:22:41	0:44:43	0:56:20	1:07:27	1:34:47
2807.	224	GBSHAMASH LÉO		Homme	SEH	1424	0:22:40	0:45:07	0:56:51	1:07:55	1:34:47
2808.	5907	FRTRIKI TAIJ		Homme	M3H	141	0:23:23	0:45:27	0:57:10	1:08:15	1:34:48
2809.	5940	FRCOURTOISIER PAUL	CA SPORTS	Homme	M0H	426	0:21:56	0:43:50	0:55:35	1:06:54	1:34:48
2810.	7407	FRLECLERC CEDRIC	EA ST QUENTIN EN YVELINES	Homme	M2H	177	0:22:11	0:43:57	0:55:36	1:06:50	1:34:48
2811.	2300	FRBOURDALLÉ ANTOINE		Homme	SEH	1425	0:22:49	0:44:45	0:56:04	1:06:56	1:34:48
2812.	4838	FRBASMADJIAN AREN	SAM PARIS 12	Homme	M5H	27	0:22:49	0:44:42	0:56:34	1:07:37	1:34:48
2813.	6431	FRDUCLOS MAXIME		Homme	SEH	1426	0:23:31	0:45:23	0:56:55	1:08:02	1:34:48
2814.	7156	FRBALLESTER ANTOINE		Homme	M3H	142	0:22:25	0:44:08	0:56:11	1:07:29	1:34:49
2815.	11552	FRPINTO DE SA ROCHA LÉA	S/L PARIS UC	Femme	SEF	159	0:22:55	0:44:52	0:56:34	1:07:40	1:34:49
2816.	4089	FRLE BIHAN CHARLES-MARIE		Homme	M0H	427	0:23:26	0:45:37	0:57:15	1:08:22	1:34:49
2817.	3063	FRCHAUFFETEAU LAURENT		Homme	M2H	178	0:22:31	0:44:47	0:56:31	1:07:42	1:34:50
2818.	10509	FRGRIFFATON MARION	PARIS SPORT CLUB	Femme	SEF	160	0:22:14	0:44:09	0:55:50	1:07:18	1:34:51
2819.	1382	FRDUVENOU THOMAS	STADE SOTTEVILLAIS 76*	Homme	M4H	49	0:21:44	0:43:26		1:06:40	1:34:51
2820.	7419	FRMORANT JEAN-MARC	CLAMART CHATILLON RUNNING 92	Homme	M2H	179	0:21:41	0:42:37	0:53:53	1:04:28	1:34:51
2821.	6458	FRBENCHRIH KAMAL		Homme	M0H	428	0:22:04	0:44:02	0:55:43	1:07:09	1:34:51
2822.	11782	FRDU LAURENS BLANCHE	S/L PARIS UC	Femme	SEF	161	0:23:01	0:45:17	0:56:53	1:07:51	1:34:51
2823.	2045	FRSEDRAN HUGO		Homme	SEH	1427	0:22:59	0:45:03	0:56:45		1:34:51
2824.	1920	FRHERPÊCHE JONATHAN		Homme	SEH	1428	0:22:42	0:44:26	0:55:49	1:06:55	1:34:51
2825.	3552	FRPAWLAK IVAN	OUEST ESSONNE ATHLETISME	Homme	M0H	429	0:22:24	0:44:24	0:56:05	1:07:10	1:34:51
2826.	6526	FRWEIDMANN HUGO		Homme	SEH	1429	0:24:07	0:46:53		1:09:25	1:34:51
2827.	4667	FRBAFOIL MARTIN		Homme	SEH	1430	0:21:17	0:42:58	0:55:09	1:06:41	1:34:52
2828.	1457	FRAUSTIN ALEXIS		Homme	M0H	430	0:22:55	0:45:05		1:07:46	1:34:52
2829.	6717	FRLE MAGOUROU PIERRE		Homme	M1H	268	0:22:56	0:44:05	0:55:38	1:06:48	1:34:53
2830.	1930	FRBOUCHEZ STEPHANE	CHANTILLY ATHLETISME	Homme	M6H	3	0:23:13	0:45:07	0:56:46	1:07:50	1:34:53
2831.	4949	FRMARTIN HIPPOLYTE	AC BOULOGNE BILLANCOURT	Homme	SEH	1431	0:23:31	0:46:23	0:58:28	1:09:34	1:34:53
2832.	960	***** DOSSARD INCONNU					0:21:48	0:42:59	0:55:09	1:06:35	1:34:54
2833.	11298	FRKERIVEL CLAIRE	CA MONTREUIL 93	Femme	SEF	162	0:22:44	0:44:41	0:56:19	1:07:22	1:34:54
2834.	8538	FRCHARENTON LENNY		Homme	SEH	1432	0:22:57	0:44:58	0:56:37	1:07:44	1:34:54
2835.	140	FRWYART VALENTIN		Homme	M1H	269	0:22:29	0:44:02	0:55:42	1:07:05	1:34:55
2836.	5390	COUVAL QUENTIN		Homme	SEH	1433	0:23:08	0:45:27	0:57:06	1:08:19	1:34:55
2837.	1961	FRGONTARD ALEXANDRE		Homme	SEH	1434	0:22:17	0:44:47	0:56:47	1:07:44	1:34:55
2838.	5634	FRLEGENDRE KALOUSTIAN THOMAS		Homme	SEH	1435	0:22:52	0:44:55	0:56:39	1:07:48	1:34:56
2839.	7358	FRHELIES JULES		Homme	SEH	1436	0:22:11	0:43:34	0:55:24	1:06:27	1:34:56
2840.	5697	FRLEGRAS DOMINIQUE	S/L CA COMBS-LA-VILLE	Homme	M5H	28	0:22:14	0:43:29	0:55:17	1:06:49	1:34:57
2841.	11338	FRNICOLLE SARAH	BARBES RUNNERS	Femme	M0F	26	0:23:06	0:45:13	0:56:49	1:07:56	1:34:57
2842.	9111	FRDIETZ ANNE-DAPHNÉ		Femme	M0F	27	0:22:59	0:44:51	0:56:42	1:07:45	1:34:58
2843.	6554	FRLASSAGNE ROMAIN		Homme	SEH	1437	0:22:28	0:44:00	0:55:46	1:06:56	1:34:58
2844.	1707	TNOUNALLAH OUSSAMA		Homme	SEH	1438	0:21:54	0:43:33			1:34:58
2845.	8227	FRDU PARC XAVIER		Homme	SEH	1439	0:23:33	0:45:47	0:57:25	1:08:18	1:34:58
2846.	6284	FRDEVOS JULIEN	UA SOCIETE GENERALE	Homme	M1H	270	0:22:37	0:44:33	0:56:07	1:07:16	1:34:58
2847.	8491	FRELOY EDOUARD		Homme	M2H	180	0:23:00	0:45:18	0:57:00	1:07:55	1:34:59
2848.	135	FRCHAVANNE BENOÎT		Homme	M3H	143	0:22:26	0:44:24	0:56:22	1:07:41	1:34:59
2849.	7715	FRSCHULLER ROBIN		Homme	SEH	1440	0:22:37	0:44:39	0:56:26	1:07:43	1:34:59
2850.	1420	FRCOSSET VINCENT		Homme	SEH	1441	0:23:00	0:45:15	0:57:04	1:08:18	1:34:59
2851.	7116	FRHERCZOG BAPTISTE		Homme	SEH	1442	0:23:30	0:45:27	0:57:01	1:08:02	1:34:59
2852.	8082	FRANCEAUX ANTOINE		Homme	SEH	1443	0:21:14	0:42:52	0:54:40	1:06:18	1:35:00
2853.	3191	FRSIX NICOLAS	LE CLUB CAMPUS	Homme	SEH	1444	0:22:30	0:44:22	0:56:01	1:07:22	1:35:00
2854.	11702	FRCADOT MARGAUX		Femme	SEF	163	0:23:10	0:45:46	0:57:34	1:08:45	1:35:00
2855.	2048	FRMALAFOSSE GRÉGOIRE		Homme	SEH	1445	0:23:18	0:45:20	0:57:00	1:08:04	1:35:02
2856.	4517	FRLOISEAU SEBASTIEN		Homme	M2H	181	0:22:26	0:43:55	0:55:26	1:06:35	1:35:02
2857.	3386	FRGENDRON FRÉDÉRIC		Homme	M2H	182	0:23:25	0:45:15		1:07:42	1:35:02
2858.	6107	FRMAZOYER STEEVE		Homme	M3H	144	0:22:39	0:44:41	0:56:22	1:07:46	1:35:03
2859.	11049	FRBUZENS LAURE	CS CLICHY ATHLETISME	Femme	M2F	13	0:22:52	0:44:57	0:56:40	1:07:57	1:35:03
2860.	11490	FRBARLAN ANDREA		Femme	M0F	28	0:24:06	0:46:46	0:58:34	1:09:13	1:35:03
2861.	6219	FRLEBEC GUILLAUME		Homme	M0H	431	0:21:56	0:43:23	0:55:10	1:06:28	1:35:04
2862.	12232	FRTHIRY CAMILLE		Femme	SEF	164	0:21:49	0:43:09	0:54:58	1:06:22	1:35:04
2863.	2353	FRGABORIT ARNAUD		Homme	M2H	183	0:23:14	0:45:34	0:57:14	1:08:20	1:35:05
2864.	3804	FRTANG NICOLAS		Homme	M0H	432	0:20:22	0:41:34	0:53:42	1:05:51	1:35:06
2865.	9102	FRDELAPIERRE LOLA	S/L NANCY ATHLETISME CLUB	Femme	SEF	165	0:22:46	0:44:50	0:56:37	1:07:49	1:35:06
2866.	1394	FRSCHRICKE FABIEN	UA SOCIETE GENERALE	Homme	M3H	145	0:22:19	0:44:24	0:56:21	1:07:40	1:35:06
2867.	10519	FRPERROTTE CAMILLE		Femme	SEF	166	0:22:40	0:44:49	0:56:35	1:07:44	1:35:06
2868.	7126	FRBASSAGAISTEGUY BERNARD		Homme	M3H	146	0:22:48	0:44:45	0:56:23	1:07:36	1:35:06
2869.	8728	FRLOCQUET AMAURY		Homme	SEH	1446	0:21:27	0:42:34	0:53:45	1:05:14	1:35:07
2870.	6010	FRVIGNES OLIVIER		Homme	M1H	271	0:21:38	0:43:19	0:55:12	1:06:37	1:35:07
2871.	10932	GBSAYER ELIZABETH	FOULEES DE ST GERMAIN EN LAYE	Femme	M0F	29	0:22:55	0:44:42	0:56:22	1:07:26	1:35:07
2872.	8028	FRTRENORAS LAMBERT		Homme	M0H	433	0:23:24	0:45:39	0:57:21	1:08:17	1:35:07
2873.	5795	FRLEMMEL BENOÎT		Homme	M5H	29	0:23:17	0:45:47	0:57:27	1:08:29	1:35:07
2874.	8120	FRELAN MAXENCE		Homme	SEH	1447	0:22:46	0:44:47	0:56:35	1:07:52	1:35:08
2875.	11350	FRJULLIEN DE POMMEROL PIA		Femme	SEF	167	0:22:31	0:44:27	0:56:08	1:07:26	1:35:09
2876.	3924	FRDAMBLEMONT JULIEN		Homme	M3H	147	0:22:54	0:45:03	0:56:33	1:07:26	1:35:09
2877.	7519	FRFLEURET MARTIN		Homme	SEH	1448	0:22:31	0:44:21	0:55:54	1:07:00	1:35:09
2878.	7607	FRVENOT ALEXIS		Homme	M0H	434	0:21:56	0:43:55	0:55:50	1:07:06	1:35:11
2879.	1515	FRDE LISLE JEAN-BAPTISTE		Homme	M0H	435	0:23:11	0:45:35	0:56:57	1:07:47	1:35:11
2880.	7649	FRCOSTE ALEXANDRE		Homme	SEH	1449	0:23:02	0:45:10	0:56:44	1:07:50	1:35:11
2881.	1989	FRGALLI CHARLES		Homme	M0H	436	0:22:40	0:44:50	0:56:34	1:07:46	1:35:11
2882.	5607	FRGABILLON VICTOR		Homme	M1H	272	0:24:02	0:47:04	0:58:53	1:09:34	1:35:11
2883.	154	FRFRADETAL ALEXIS		Homme	SEH	1450	0:22:33	0:44:28	0:56:05	1:07:02	1:35:12
2884.	1022	ESESTEBAN ALDAMA PABLO		Homme	SEH	1451	0:22:15	0:44:00	0:55:42	1:06:39	1:35:12
2885.	3533	FRSILLOU PIERRE		Homme	M0H	437	0:22:31	0:44:42	0:56:18	1:07:27	1:35:13
2886.	4353	FRDIOUF BABACAR		Homme	SEH	1452	0:22:46	0:45:00	0:56:36	1:07:46	1:35:13
2887.	11135	FRAURÉLIE GRAIGNIC		Femme	M0F	30	0:22:56	0:45:05	0:56:49	1:07:55	1:35:13
2888.	2133	FRBRUNEAU ANTONIN		Homme	SEH	1453	0:23:17	0:45:53	0:57:27		1:35:13
2889.	6998	FRDHONDT ISAAC		Homme	SEH	1454	0:23:22	0:45:37	0:57:28	1:08:43	1:35:14
2890.	5479	FRSCHERER FLAVIEN		Homme	ESH	65	0:23:09	0:45:37	0:57:29		1:35:14
2891.	7782	FRPALITZYNE CYRILLE		Homme	M2H	184	0:21:57	0:43:23	0:54:57	1:06:15	1:35:15
2892.	4707	FRDE RAUGLAUDRE ARTHUR		Homme	M0H	438	0:23:13	0:45:45	0:57:35	1:08:44	1:35:15
2893.	1313	FRCARABEUF SAMUEL		Homme	M2H	185	0:22:33	0:44:28	0:56:06	1:07:14	1:35:16
2894.	6766	FRYVON CHRISTOPHE		Homme	M4H	50	0:23:54	0:45:39	0:57:28	1:08:25	1:35:16
2895.	11288	FRCHASSAGNE LAURE		Femme	M2F	14	0:22:58	0:45:06	0:56:48	1:08:01	1:35:17
2896.	6252	FRCOLLOMB ALEXIS		Homme	SEH	1455	0:23:31	0:45:47	0:57:20	1:08:24	1:35:17
2897.	836	FRCOINTE SYLVAIN	CLAIN ATHLETIC PICTAVE	Homme	M5H	30	0:22:31	0:44:51	0:56:47	1:07:57	1:35:17
2898.	6745	FRSAINT-RAYMOND MATTHIEU		Homme	M2H	186	0:22:28	0:44:27	0:56:27	1:07:51	1:35:17
2899.	4456	***** DOSSARD INCONNU					0:26:37	0:47:41	0:58:44	1:09:06	1:35:18
2900.	8423	FRDUBOIS ARNAUD		Homme	SEH	1456	0:24:01	0:46:11	0:57:52	1:08:41	1:35:18
2901.	8519	FRBOUSSION BASILE		Homme	SEH	1457	0:23:16	0:45:35	0:57:15	1:08:23	1:35:19
2902.	8118	FRLOMBARD RÉGIS		Homme	M3H	148	0:22:58	0:44:59	0:56:44	1:07:54	1:35:19
2903.	5384	FRSEGUIN PASCAL	S/L ABV LES HERBIERS	Homme	M4H	51	0:22:52	0:45:00		1:07:51	1:35:19
2904.	1401	FRPACAUD AYMERIC		Homme	SEH	1458	0:22:51	0:44:52	0:56:49	1:07:50	1:35:19
2905.	6622	FRMEGY ARTHUR	S/L AVIA CLUB ATHLETISME	Homme	SEH	1459	0:22:58	0:45:12	0:56:55	1:08:15	1:35:19
2906.	1915	FRPOPELIN VINCENT		Homme	M4H	52	0:21:51	0:43:17	0:54:46	1:05:56	1:35:20
2907.	7421	FRLEGER GUILLAUME		Homme	M3H	149	0:22:04	0:43:39	0:55:36	1:07:10	1:35:20
2908.	7315	FRMAZET ARNAUD		Homme	M4H	53	0:22:44	0:44:36	0:56:25	1:07:37	1:35:21
2909.	1110	FRBARDON MATHIEU		Homme	M2H	187	0:23:26	0:45:30	0:57:18	1:08:11	1:35:21
2910.	2132	FRPAULVE CEDRIC		Homme	SEH	1460	0:23:17	0:45:52	0:57:26	1:08:25	1:35:21
2911.	1164	FRDRESCO PIERRE		Homme	M3H	150	0:22:06	0:43:42	0:55:34	1:06:51	1:35:22
2912.	1029	FRSENANT JONATHAN		Homme	SEH	1461	0:22:48	0:45:03	0:56:57	1:08:14	1:35:22
2913.	3650	FRLESPINASSE CLÉMENT		Homme	SEH	1462	0:24:11	0:47:24	0:58:42	1:09:20	1:35:22
2914.	5437	FRMACHU MAXENCE		Homme	M0H	439	0:23:02	0:45:22	0:57:01	1:08:02	1:35:23
2915.	11836	FRBECHON ELISE		Femme	SEF	168	0:23:47	0:45:58	0:57:40	1:08:42	1:35:23
2916.	3569	FRMANIMA MOISE		Homme	SEH	1463	0:23:42	0:46:07	0:57:46	1:08:40	1:35:23
2917.	1076	FRVIDAL FÉLIX		Homme	SEH	1464	0:22:08	0:44:25	0:56:15	1:07:32	1:35:23
2918.	7309	FRBLANCHON LUC		Homme	SEH	1465	0:22:29	0:44:37	0:56:19	1:07:24	1:35:24
2919.	3312	FRWALTERS BENJAMIN		Homme	M2H	188	0:23:19	0:45:48	0:57:37	1:08:50	1:35:25
2920.	7410	FRMENEUX VICTOR		Homme	SEH	1466	0:23:54	0:46:33	0:57:52	1:08:54	1:35:25
2921.	188	FRWIOLAND HUGO		Homme	M0H	440	0:22:37	0:44:44	0:56:36	1:07:42	1:35:26
2922.	8787	FRGARRÉ ANTONIN		Homme	SEH	1467	0:22:40	0:44:32	0:56:24	1:07:44	1:35:26
2923.	8329	FRRAYMOND VINCENT	AC NORD VAL D'OISE	Homme	M2H	189	0:21:04	0:42:54	0:56:18	1:07:04	1:35:27
2924.	8741	FRDEMOULE ROMAIN		Homme	SEH	1468	0:22:21	0:44:02	0:55:29	1:06:28	1:35:27
2925.	3538	FRBOOZ-GENCE THOMAS	LE CHESNAY-ROCQUENCOURT 78 ATHLETISME	Homme	SEH	1469	0:23:07	0:45:16	0:57:15	1:08:25	1:35:27
2926.	5891	FRDESMOULINS ROMAIN		Homme	M0H	441	0:22:36	0:44:41	0:56:28	1:07:41	1:35:27
2927.	5352	FRRIDENT ANTOINE		Homme	SEH	1470	0:21:34	0:43:25	0:55:16	1:06:40	1:35:28
