Rank;Bib;Name;Club;Sex;Category;Category_Rank;5km;10km;12km;15km;Finish;Time_Behind_Winner;Avg_Pace;0_5_pace;5_10_pace;10_15_pace;15_end_pace;0_5_10_diff;5_10_15_diff;10_15_end_diff;start_end_diff;0_5_average_diff;5_10_average_diff;10_15_average_diff;15_end_average_diff;10k_diff;Cluster_5;Cluster_5_Label;Cluster_8;Cluster_8_Label;Cluster_10;Cluster_10_Label
14;7943;SALMI MUSTAPHA;;Homme;SEH;12;00:15:54;00:31:26;00:39:31;00:47:12;01:06:03;+2:32;187.84661326254917;190.8;186.4;189.2;185.501066098081;-4.400000000000006;2.799999999999983;-3.6989339019189913;-5.298933901919014;2.953386737450842;-1.446613262549164;1.353386737450819;-2.3455471644681722;-1.2494669509595155;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
15;4203;PANCHE CLÉMENT;NANTES EC;Homme;SEH;13;00:15:54;00:31:25;00:39:29;00:47:09;01:06:04;+2:33;187.8940133668294;190.8;186.2;188.8;186.15712645563391;-4.600000000000023;2.6000000000000227;-2.642873544366097;-4.642873544366097;2.9059866331706132;-1.6940133668294095;0.9059866331706132;-1.7368869111954837;-1.0214367721830513;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
16;6636;BOUCARD MATIS;S/L STADE NANTAIS AC;Homme;SEH;14;00:15:55;00:31:25;00:39:29;00:47:12;01:06:06;+2:35;187.98881357538986;191.0;186.0;189.4;185.99311136624567;-5.0;3.4000000000000057;-3.4068886337543347;-5.006888633754329;3.0111864246101447;-1.9888135753898553;1.4111864246101504;-1.9957022091441843;-0.8034443168771759;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
17;7936;CHENAIS JOAN;S/L AC ST GRATIEN-SANNOIS;Homme;SEH;15;00:15:54;00:31:24;00:39:28;00:47:11;01:06:09;+2:38;188.13101388823054;190.8;186.0;189.4;186.6491717237986;-4.800000000000011;3.4000000000000057;-2.7508282762014176;-4.150828276201423;2.6689861117694704;-2.131013888230541;1.2689861117694647;-1.4818421644319528;-0.37541413810069457;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
18;6985;LANGIN PIERRE;S/L ATHLE THEIX;Homme;SEH;16;00:15:54;00:31:25;00:39:29;00:47:09;01:06:11;+2:40;188.225814096791;190.8;186.2;188.8;187.30523208135148;-4.600000000000023;2.6000000000000227;-1.4947679186485345;-3.4947679186485345;2.5741859032090133;-2.0258140967910094;0.5741859032090133;-0.9205820154395212;-0.4473839593242701;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
19;667;LE COQ GURVAN;TREGUEUX LANGUEUX ATHLETISME;Homme;SEH;17;00:15:54;00:31:26;00:39:29;00:47:09;01:06:22;+2:51;188.7472152438735;190.8;186.4;188.6;189.10939806462193;-4.400000000000006;2.1999999999999886;0.5093980646219336;-1.6906019353780835;2.052784756126499;-2.3472152438735066;-0.14721524387351792;0.3621828207484157;0.2546990323109526;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
20;7857;DJERBOUA THOMAS;RUN UP NANTERRE;Homme;SEH;18;00:15:56;00:31:25;00:39:29;00:47:12;01:06:27;+2:56;188.98421576527468;191.2;185.8;189.4;189.4374282433984;-5.399999999999977;3.5999999999999943;0.0374282433983808;-1.7625717566016021;2.215784234725305;-3.184215765274672;0.4157842347253222;0.453212478123703;0.9187141216991961;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
21;6801;ROZALSKI ANTHONY;C.O.S. VILLERS ATHLETISME;Homme;MAH1;3;00:15:37;00:31:08;00:39:26;00:47:12;01:06:29;+2:58;189.07901597383514;187.4;186.2;192.8;189.76545842217482;-1.200000000000017;6.600000000000023;-3.0345415778251947;2.365458422174811;-1.679015973835135;-2.879015973835152;3.720984026164871;0.686442448339676;4.482729211087417;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
22;2497;PAUTRET FRANÇOIS;S/L U.S.O MONDEVILLE;Homme;SEH;19;00:15:56;00:31:25;00:39:30;00:47:12;01:06:34;+3:03;189.31601649523628;191.2;185.8;189.4;190.58553386911595;-5.399999999999977;3.5999999999999943;1.1855338691159432;-0.6144661308840398;1.8839835047637052;-3.516016495236272;0.0839835047637223;1.2695173738796655;1.4927669345579773;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
23;691;DESCHAMPS-GAYOT VALENTIN;SATUC TOULOUSE ATHLE;Homme;MAH1;4;00:16:08;00:31:49;;00:47:47;01:06:45;+3:14;189.8374176423188;193.6;188.2;191.6;186.6491717237986;-5.400000000000006;3.4000000000000057;-4.950828276201406;-6.950828276201406;3.7625823576811968;-1.637417642318809;1.7625823576811968;-3.1882459185202094;-1.7754141381007003;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
24;3757;HOBBS JOSHUA;;Homme;SEH;20;00:16:11;00:31:54;00:40:04;00:47:47;01:06:50;+3:19;190.07441816371994;194.2;188.6;190.6;187.4692471707397;-5.599999999999994;2.0;-3.1307528292603024;-6.730752829260297;4.125581836280048;-1.474418163719946;0.525581836280054;-2.6051709929802485;-2.365376414630134;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
25;1649;BERNARD ANTOINE;RUN UP NANTERRE;Homme;SEH;21;00:15:55;00:31:26;00:39:30;00:47:13;01:06:51;+3:20;190.12181826800017;191.0;186.2;189.4;193.20977529932753;-4.800000000000011;3.200000000000017;3.8097752993275265;2.209775299327532;0.8781817319998311;-3.9218182680001803;-0.7218182680001632;3.087957031327363;2.704887649663789;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
26;2967;HOCQUETTE THIBAUT;EA PAYS DE BROCELIANDE;Homme;SEH;22;00:16:13;00:31:54;00:40:12;00:48:01;01:06:55;+3:24;190.31141868512108;194.6;188.2;193.4;185.99311136624567;-6.400000000000006;5.200000000000017;-7.406888633754335;-8.606888633754323;4.288581314878911;-2.1114186851210945;3.0885813148789225;-4.318307318875412;-1.7034443168771531;2.0;Steady pace;0.0;Steady + hills struggles;1.0;Steady (+hills slowdown)
